0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
47,23,1,1,0,1,403,0,1,0,0,1,1,0,0,0,0,0,1,0,0
21,0,16,1,1,1,30,0,0,1,0,1,1,0,0,0,0,0,1,0,1
24,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1
22,3,0,0,0,0,323,0,0,1,0,1,1,0,0,0,0,0,1,0,0
48,4,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1
50,0,0,1,1,1,35,0,1,0,0,1,0,0,1,0,0,0,1,0,1
57,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
34,15,4,1,0,1,3,1,0,0,1,0,0,0,1,0,0,0,1,0,0
27,1,1,1,0,1,168,1,0,0,0,1,1,0,0,0,0,0,1,0,0
24,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
34,27,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
60,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1
20,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
50,5,8,1,0,0,5,0,1,0,0,1,0,0,1,0,0,0,1,0,0
50,7,8,1,0,1,7,0,1,0,1,0,0,0,1,0,0,0,0,1,1
45,8,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1
32,0,0,1,0,1,22,1,0,0,0,1,0,0,0,0,0,1,1,0,1
31,4,0,1,0,1,29,1,0,0,0,1,0,0,1,0,0,0,1,0,0
24,1,1,1,0,1,57,0,0,1,0,1,1,0,0,0,0,0,1,0,1
28,2,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1
56,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
28,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1
21,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0
24,5,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1
22,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
30,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1
56,24,22,0,0,0,6,0,1,0,0,1,1,0,0,0,0,0,1,0,0
23,2,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1
62,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1
28,11,1,1,1,1,2,1,0,0,0,1,1,0,0,0,0,0,1,0,1
33,21,6,1,0,1,6,1,0,0,0,1,1,0,0,0,0,0,0,1,0
31,4,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1
51,21,1,1,0,1,449,0,1,0,0,1,1,0,0,0,0,0,1,0,0
38,17,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1
45,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1
22,1,4,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1
30,8,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0
42,1,10,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1
47,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1
38,17,1,0,0,0,180,1,0,0,0,1,0,0,1,0,0,0,1,0,0
66,8,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1
37,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1
22,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
25,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1
39,0,1,1,0,1,2,1,0,0,1,0,1,0,0,0,0,0,1,0,1
25,0,1,0,0,0,34,1,0,0,0,1,1,0,0,0,0,0,1,0,1
30,1,4,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1
31,3,468,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
22,2,40,1,1,1,27,0,0,1,0,1,0,0,1,0,0,0,1,0,1
58,12,161,1,0,1,54,0,1,0,0,1,0,0,1,0,0,0,1,0,1
22,0,0,1,0,1,9,0,0,1,0,1,0,0,1,0,0,0,0,1,1
51,3,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1
20,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
49,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1
24,1,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
22,3,1,1,1,1,26,0,0,1,0,1,1,0,0,0,0,0,1,0,0
47,1,1,0,0,0,183,0,1,0,0,1,0,0,0,1,0,0,1,0,1
38,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1
25,7,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
48,10,1,1,0,1,4,0,1,0,0,1,1,0,0,0,0,0,1,0,0
39,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1
29,11,65,1,0,1,19,1,0,0,0,1,1,0,0,0,0,0,1,0,0
35,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1
34,2,12,1,0,0,12,1,0,0,0,1,1,0,0,0,0,0,1,0,1
25,4,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
30,6,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1
57,8,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1
40,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1
39,1,1,1,0,1,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0
25,5,1,0,0,0,35,1,0,0,0,1,1,0,0,0,0,0,1,0,0
24,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
60,0,7,1,0,1,3,0,1,0,0,1,0,0,1,0,0,0,0,1,1
42,17,1,1,0,1,32,1,0,0,0,1,1,0,0,0,0,0,1,0,0
34,4,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1
44,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1
34,5,1,1,1,1,6,1,0,0,0,1,0,0,1,0,0,0,0,1,1
59,1,25,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1
24,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1
31,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1
24,0,1,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,1,0,1
30,1,40,0,0,0,7,1,0,0,1,0,0,0,1,0,0,0,0,1,1
37,13,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
28,0,391,1,0,1,6,1,0,0,1,0,1,0,0,0,0,0,1,0,0
28,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
54,6,1,1,0,1,13,0,1,0,0,1,1,0,0,0,0,0,1,0,0
23,6,18,0,0,0,17,0,0,1,1,0,1,0,0,0,0,0,0,1,0
42,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1
35,1,30,0,0,0,28,1,0,0,1,0,0,0,1,0,0,0,0,1,1
77,1,1,0,0,0,3,0,1,0,0,1,0,0,1,0,0,0,0,1,1
27,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1
47,0,1,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,1,1
56,2,1,0,0,0,16,0,1,0,0,1,0,0,1,0,0,0,0,1,1
31,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1
61,3,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
34,2,47,1,1,1,207,1,0,0,0,1,0,0,0,1,0,0,0,1,1
48,0,1,0,0,0,27,0,1,0,0,1,0,0,1,0,0,0,1,0,1
40,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1
58,7,1,1,0,1,185,0,1,0,0,1,0,0,1,0,0,0,1,0,0
62,3,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1
57,2,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1
53,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1
20,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1
22,2,1,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,1,0,0
38,1,23,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1
44,0,2,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1
42,4,10,1,0,1,4,1,0,0,1,0,0,0,1,0,0,0,1,0,0
20,0,2,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1
21,3,1,1,0,1,6,0,0,1,0,1,1,0,0,0,0,0,1,0,0
29,5,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1
65,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1
33,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1
60,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1
35,10,28,1,0,1,22,1,0,0,0,1,1,0,0,0,0,0,1,0,1
53,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1
25,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1
24,2,1,1,0,1,2,0,0,1,0,1,1,0,0,0,0,0,0,1,0
27,4,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
31,3,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1
19,3,22,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0
37,4,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1
21,0,1,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,1,0,0
26,6,8,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1
37,3,1,0,0,0,80,1,0,0,0,1,1,0,0,0,0,0,0,1,1
45,15,1,1,0,1,330,0,1,0,0,1,1,0,0,0,0,0,1,0,0
26,18,1,1,0,1,197,1,0,0,0,1,1,0,0,0,0,0,1,0,0
39,17,1,1,0,1,181,1,0,0,0,1,0,0,1,0,0,0,1,0,0
26,9,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
21,2,10,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0
46,2,0,1,0,1,9,0,1,0,0,1,1,0,0,0,0,0,1,0,1
36,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1
51,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1
24,4,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1
67,0,3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1
61,8,0,1,0,1,30,0,1,0,1,0,0,0,1,0,0,0,1,0,1
36,4,10,1,0,1,2,1,0,0,1,0,0,0,1,0,0,0,0,1,1
22,0,1,1,0,1,6,0,0,1,0,1,0,0,0,0,0,1,1,0,1
27,4,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1
45,2,1,0,0,0,7,0,1,0,0,1,0,0,1,0,0,0,1,0,1
25,14,1,1,0,1,83,1,0,0,0,1,1,0,0,0,0,0,1,0,0
24,9,1,1,0,1,8,0,0,1,1,0,0,0,1,0,0,0,0,1,0
