0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
62,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1.0
36,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1.0
27,3,1,0,0,0,37,1,0,0,0,1,1,0,0,0,0,0,0,1,1.0
46,3,1,0,0,0,14,0,1,0,0,1,0,0,1,0,0,0,1,0,1.0
22,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0.0
37,14,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1.0
36,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1.0
55,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0.0
42,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1.0
54,6,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1.0
26,2,22,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0.0
32,0,500,1,0,1,2,1,0,0,0,1,0,0,1,0,0,0,1,0,1.0
55,5,1,1,0,1,118,0,1,0,0,1,1,0,0,0,0,0,1,0,1.0
43,1,1,1,0,1,69,1,0,0,0,1,0,0,1,0,0,0,1,0,1.0
25,0,256,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0.0
45,0,3,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1.0
32,1,1,0,0,0,98,1,0,0,0,1,1,0,0,0,0,0,1,0,1.0
28,1,90,0,0,0,48,1,0,0,0,1,1,0,0,0,0,0,1,0,1.0
38,2,1,1,0,1,9,1,0,0,0,1,0,0,1,0,0,0,1,0,0.0
24,2,49,1,0,1,2,0,0,1,0,1,0,0,0,0,0,1,0,1,1.0
60,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1.0
26,3,305,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1.0
29,16,1,1,0,1,33,1,0,0,0,1,1,0,0,0,0,0,1,0,1.0
42,3,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0.0
27,4,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0.0
38,4,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1.0
29,6,1,1,0,1,39,1,0,0,0,1,1,0,0,0,0,0,1,0,0.0
